mode,model,term,beta,se,p_value,odds_ratio
original,pooled_interaction,Intercept,-0.973747928249514,0.2925810549469362,0.0008743090520892949,0.37766492123613304
original,pooled_interaction,split_ord,-0.22481016573504978,0.23835258063207984,0.34558717063907607,0.7986678188878102
original,pooled_interaction,dataset_AgiBot,0.12298348775820667,0.41004958423164456,0.7642355434476609,1.1308657476646595
original,pooled_interaction,split_ord:dataset_AgiBot,-0.18163302936764456,0.3420034332472357,0.5953596026421513,0.833907303763108
original,pooled_interaction,split_ord | DROID slope,-0.22481016573504978,0.23835258063207984,0.34558717063907607,0.7986678188878102
original,pooled_interaction,split_ord | AgiBot slope,-0.40644319510269433,0.2452639306113401,0.0974857962791833,0.666014927451096
original,pooled_no_interaction,Intercept,-0.8931946075629864,0.2464315278988953,0.0002895049537312566,0.4093459620264226
original,pooled_no_interaction,split_ord,-0.31386109515102983,0.17070576273812482,0.06597276534764762,0.7306205078425481
original,pooled_no_interaction,dataset_AgiBot,-0.03808031397867304,0.27598760740864087,0.890257530108409,0.962635624689424
original,DROID_only,Intercept,-0.9737479424508326,0.29258105592663775,0.0008743089347296173,0.3776649158727932
original,DROID_only,split_ord,-0.22481016640163276,0.23835258158787007,0.34558717114308113,0.7986678183554319
original,AgiBot_only,Intercept,-0.8507642791342561,0.28729250342027635,0.0030632611035306123,0.42708839243413244
original,AgiBot_only,split_ord,-0.4064432413028522,0.2452639238239269,0.09748574893665363,0.666014896681102
llm_dual,pooled_interaction,Intercept,-0.33448922007892684,0.2631223608395865,0.20364659177605127,0.7157035600142059
llm_dual,pooled_interaction,split_ord,-0.21620849467956016,0.20881414394968945,0.3004769368180815,0.8055673278613577
llm_dual,pooled_interaction,dataset_AgiBot,0.30787809773463204,0.3687203115619041,0.4037228428576105,1.3605351265138181
llm_dual,pooled_interaction,split_ord:dataset_AgiBot,0.13593710045544352,0.28945169961167105,0.6386146997718987,1.1456098329918614
llm_dual,pooled_interaction,split_ord | DROID slope,-0.21620849467956016,0.20881414394968945,0.3004769368180815,0.8055673278613577
llm_dual,pooled_interaction,split_ord | AgiBot slope,-0.08027139422411664,0.20044685004919235,0.6888160911616719,0.92286585193495
llm_dual,pooled_no_interaction,Intercept,-0.402787199393586,0.22049377475681478,0.06773723278305765,0.668454331676599
llm_dual,pooled_no_interaction,split_ord,-0.14564172718383742,0.1445068282275417,0.31352474923349516,0.8644673628665821
llm_dual,pooled_no_interaction,dataset_AgiBot,0.4412838440533649,0.23589898728118852,0.06139396011381493,1.554701932617377
llm_dual,DROID_only,Intercept,-0.3344892781857435,0.2631223620325259,0.2036465152853837,0.7157035184269516
llm_dual,DROID_only,split_ord,-0.21620846543766503,0.20881414443568508,0.3004770033143409,0.8055673514176733
llm_dual,AgiBot_only,Intercept,-0.026611120797733284,0.2583046484532504,0.9179453281610082,0.9737398350762662
llm_dual,AgiBot_only,split_ord,-0.08027142826310868,0.20044685035968388,0.688815966565623,0.9228658205215271
llm_val,pooled_interaction,Intercept,-0.14690517968509295,0.2589861827615086,0.5705567552438138,0.8633758391041295
llm_val,pooled_interaction,split_ord,-0.040357031820903236,0.20091809736889077,0.8408056218087692,0.9604464679788126
llm_val,pooled_interaction,dataset_AgiBot,0.46954514274237885,0.36788819653464777,0.20184042547938885,1.5992665897368303
llm_val,pooled_interaction,split_ord:dataset_AgiBot,-0.04085704947526983,0.2846408602887056,0.8858645541154659,0.9599663478330269
llm_val,pooled_interaction,split_ord | DROID slope,-0.040357031820903236,0.20091809736889077,0.8408056218087692,0.9604464679788126
llm_val,pooled_interaction,split_ord | AgiBot slope,-0.08121408129617307,0.2016242482826888,0.6870959665521157,0.921996288154751
llm_val,pooled_no_interaction,Intercept,-0.12660594913928766,0.21683479788241594,0.5592996617513024,0.8810807948463211
llm_val,pooled_no_interaction,split_ord,-0.06072030222427455,0.14231192653977648,0.6696193331312636,0.9410864227476561
llm_val,pooled_no_interaction,dataset_AgiBot,0.42863581219567487,0.23236084953201944,0.06508134556337763,1.5351618453568712
llm_val,DROID_only,Intercept,-0.1469051680542671,0.25898618264336853,0.570556785575532,0.8633758491459037
llm_val,DROID_only,split_ord,-0.0403570311635344,0.20091809725233176,0.8408056242760547,0.9604464686101801
llm_val,AgiBot_only,Intercept,0.32263938549402016,0.2612812219419223,0.21689165093478713,1.3807673363845132
llm_val,AgiBot_only,split_ord,-0.08121364672265906,0.2016242447825339,0.6870975471375593,0.9219966888300049
