episode_id	ep_len	task
1015	188	Put the marker inside the cup
1028	243	Put the marker in the cup
1041	208	Put the blue cup on the sink
1051	249	Move the blue cup to the right
1066	181	Put the hand mixer into the white cup
1078	224	Move the white mug to the right
1087	185	Put the plastic knife in the cup
1102	237	Put the cereals inside the blue bowl
1167	240	Press a button on the flashlight
1185	232	Remove the marker from the mug.
1258	256	Put the yellow marker inside the white and green mug
1310	251	Put the cubes in the black bowl
1315	204	Press a button on the keyboard
1324	259	Pick the marker and put it in the cup
1412	251	Pick the marker and put it in the cup
1433	331	Pick up the white objects from the table and put them in the open drawer and close it
1440	211	Move the uncovered cup to the left
1464	194	Put the red marker on the table.
1474	428	Put the pen in the cup
1488	200	Open the red drawer
1512	197	Move the pink block from the tray to the table
1513	206	Put the grey building block on the tray
1514	180	Put the car key on the square plate
1517	181	Move the cup forward
1545	187	Press the letter W on the keyboard
1550	333	Put the pink plate on the blue bowl
1563	303	Pick up the pen from the table and put it in the cup.
1580	183	Open the second drawer from the top fully
1599	358	Put the grey mug inside the open upper cabinet.
1631	230	Remove the pen from the white cup and put it on the table
1641	247	Remove the red block from the pot and put it on top of the cupboard
1648	181	Put the yellow spiky toy in the green bowl
1732	185	Put the blue pen inside the clear cup
1750	237	Remove the folk from the open drawer second position to the right and put it on the cupboard
1752	242	Move the brown fruit from the green bowl to the wooden tray
1784	256	Put the ladle in the silver cup
1788	262	Pick up the black measuring spoon from the open drawer and put it on the kitchen counter
1814	285	Put the brown towel in the bowl
1824	219	Move the small green bowl backwards
1834	210	Put the pink thing into the cup
1838	248	Put the purple fruit into the bowl
1842	294	Put the white mug on the plate dryer
1858	184	Remove the purple ball from the bowl and put it on the table
1870	208	Put the spoon in the cup
1872	177	Press the button on the top of the coffee maker
1882	232	Move the packet from the open drawer to the shelf above it
1885	183	Put the blue marker on the table
1896	189	Put the orange cup in the top compartment
1939	282	Remove the pen from the cup and put it on the table
1945	188	Put the candy bar in the bowl
