episode_id	ep_len	task
1023	123	Close the drawer
1043	120	Press the left switch
1082	120	Remove the pen from the mug and put it on the table
1131	69	Move the towel to the right
1137	84	Move the brown doll to the right
1151	97	Move the pencil to the left
1170	89	Place the blue cup inside the orange cup
1179	79	Move the spatula to the right
1218	122	Move the grey bear backwards
1231	110	Put the orange marker in the red mug
1232	119	Press a button on the air cooler
1236	74	Move the grey towel to the right
1241	95	Move the doll to the left
1245	123	Move the orange plushie to the right
1247	90	Move the cup backwards
1249	64	Put the orange object into the black bowl.
1267	104	Put the block in the bowl
1269	103	Close the right cupboard door
1305	52	Put the green cube in the black bowl
1338	114	Move the tall stack of blocks to the left
1340	115	Move the blue cup on the left to the right
1343	74	Turn on the right light switch
1356	98	Put the blue box into the carrier bag
1390	48	Close the open drawer
1407	99	Remove the doll from the bowl
1492	122	Put the stuffed toy on the blanket
1499	91	Close the top drawer of the left cabinet
1502	115	Put the yellow block in the white bowl
1530	114	Put the plush toy in the red bowl
1538	77	Move the brown object on the rack forward
1588	115	Remove the cup from the blue tray and put it on the rack
1601	101	Remove the orange object from the bowl and put it on the table
1627	112	Move the orange cup from the drying rack
1651	83	Move the grey towel to the right.
1682	122	Put the book in the green bowl
1691	112	Put the orange item into the desk shelf
1692	107	Put the carrot plushie in the pan
1700	102	Move the grey bear forwards
1710	89	Move the blue block to the left
1724	80	Move the green bowl to the left side of the desk
1727	77	Put the purple plush toy on the bowl
1729	114	Push the open drawer closed
1749	115	Press a button on the back of the sound bar
1772	106	Press a button on the washing machine on the right.
1832	117	Push the key on the keyboard
1854	99	Move the orange plushy backwards
1877	119	Move the marker away from you
1890	67	Close the chest drawer
1891	103	Put the lunchbox in the wooden bowl
1937	104	Move the blue marker to the right
